filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,âÊëúÉTÉCÉY,35mmä∑éZ,ójì˙,ì˙ït,éûä‘ë—,happy_tf,male_tf,distance,ójì˙_tf,,ä¥èÓ,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,,150+,,,,,
A7300001-1221-1,4,45,female,0,0,0,0,0,0.962,0.038,0,35.65948833,139.7000781,103,34,ìy,2019/12/21,1,0,0,8.495,1,,,0,0,0,0,0,1,0,0,,ìxêî,èŒäÁìxêî,î‰ó¶,,,
A7300001-1221-1,5,23,female,0,0,0,0,0,0.991,0.008,0,35.65948833,139.7000781,94,34,ìy,2019/12/21,1,0,0,9.306,1,,,0,0,0,0,0,1,0,0,,6,0,0.00%,,,
A7300003-1221-1,1,35,female,0,0,0,0,0.964,0.035,0,0,35.65944861,139.6997142,84,34,ìy,2019/12/21,1,1,0,10.409,1,,,0,0,0,0,1,0,0,0,,21,0,0.00%,,,
A7300003-1221-1,3,20,female,0,0,0,0,0.996,0.003,0,0,35.65944861,139.6997142,71,34,ìy,2019/12/21,1,1,0,12.309,1,,,0,0,0,0,1,0,0,0,,20,0,0.00%,,,
A7300003-1221-1,4,18,female,0,0.001,0,0,0,0.999,0,0,35.65944861,139.6997142,58,34,ìy,2019/12/21,1,0,0,15.06,1,,,0,0,0,0,0,1,0,0,,21,1,4.76%,,,
A7300003-1221-1,9,20,female,0,0,0,0,0,1,0,0,35.65944861,139.6997142,41,34,ìy,2019/12/21,1,0,0,21.291,1,,,0,0,0,0,0,1,0,0,,28,1,3.57%,,,
A7300003-1221-1,10,33,female,0.007,0,0,0,0.004,0.987,0.002,0,35.65944861,139.6997142,37,34,ìy,2019/12/21,1,0,0,23.589,1,,,0,0,0,0,0,1,0,0,,51,5,9.80%,,,
A7300004-1221-1,2,6,female,0,0,0,0,0.004,0.996,0,0,35.65942165,139.6995871,80,34,ìy,2019/12/21,1,0,0,10.928,1,,,0,0,0,0,0,1,0,0,,112,14,12.50%,,,
A7300006-1221-1,3,20,female,0,0,0,0,0,0.955,0.045,0,35.6593604,139.6992495,117,34,ìy,2019/12/21,1,0,0,7.483,1,,,0,0,0,0,0,1,0,0,,65,2,3.08%,,,
A7300007-1221-1,2,21,female,0,0,0,0,0,0.999,0.001,0,35.65938996,139.6993298,288,34,ìy,2019/12/21,1,0,0,3.06,1,,,0,0,0,0,0,1,0,0,,91,6,6.59%,,,
A7300008,1,18,female,0,0,0,0,0,0.981,0.019,0,35.65969028,139.7002089,150,34,ì˙,2019/12/8,1,0,0,5.844,1,,,0,0,0,0,0,1,0,0,,54,7,12.96%,,,
A7300008,2,19,female,0,0,0,0,0,0.997,0.003,0,35.65969028,139.7002089,150,34,ì˙,2019/12/8,1,0,0,5.844,1,,,0,0,0,0,0,1,0,0,,70,7,10.00%,,,
A7300008,4,30,female,0.001,0.002,0.001,0,0.543,0.433,0.02,0,35.65969028,139.7002089,64,34,ì˙,2019/12/8,1,1,0,13.652,1,,,0,0,0,0,1,0,0,0,,78,11,14.10%,,,150+
A7300008,5,23,female,0.003,0.002,0.003,0,0.145,0.834,0.012,0.001,35.65969028,139.7002089,58,34,ì˙,2019/12/8,1,0,0,15.06,1,,,0,0,0,0,0,1,0,0,,75,10,13.33%,,,
A7300008,6,15,female,0,0,0,0,0.013,0.987,0,0,35.65969028,139.7002089,56,34,ì˙,2019/12/8,1,0,0,15.597,1,,,0,0,0,0,0,1,0,0,,107,11,10.28%,,,
A7300008-1221-1,2,23,female,0,0,0,0,0.002,0.993,0.004,0.002,35.65941023,139.6994367,228,34,ìy,2019/12/21,1,0,0,3.857,1,,,0,0,0,0,0,1,0,0,,167,19,11.38%,,,
A7300008-1221-1,3,20,female,0,0,0,0,0,0.999,0.001,0,35.65941023,139.6994367,192,34,ìy,2019/12/21,1,0,0,4.573,1,,,0,0,0,0,0,1,0,0,,246,31,12.60%,,,
A7300008-1221-1,5,22,female,0,0,0,0,0,0.901,0.098,0,35.65941023,139.6994367,148,34,ìy,2019/12/21,1,0,0,5.923,1,,,0,0,0,0,0,1,0,0,,411,65,15.82%,,,
A7300008-1221-1,6,21,female,0,0,0,0,0.544,0.452,0.002,0.002,35.65941023,139.6994367,124,34,ìy,2019/12/21,1,1,0,7.062,1,,,0,0,0,0,1,0,0,0,,490,93,18.98%,,,
A7300008-1221-1,8,23,female,0,0,0,0,0,0.999,0,0,35.65941023,139.6994367,105,34,ìy,2019/12/21,1,0,0,8.334,1,,,0,0,0,0,0,1,0,0,,1208,198,16.39%,,,
A7300009,4,31,female,0,0,0,0,0,0.782,0.218,0,35.65961778,139.6999503,157,34,ì˙,2019/12/8,1,0,0,5.585,1,,,0,0,0,0,0,1,0,0,,1171,223,19.04%,,,
A7300009,6,6,female,0,0,0,0,0,1,0,0,35.65961778,139.6999503,48,34,ì˙,2019/12/8,1,0,0,18.191,1,,,0,0,0,0,0,1,0,0,,1229,249,20.26%,,,
