filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,‰æ‘œƒTƒCƒY,35mmŠ·ŽZ,—j“ú,“ú•t,ŽžŠÔ‘Ñ,happy_tf,male_tf,distance,—j“ú_tf
A7300001-1221-1,4,45,female,0,0,0,0,0,0.962,0.038,0,35.65948833,139.7000781,103,34,“y,2019/12/21,1,0,0,8.495,1
A7300001-1221-1,5,23,female,0,0,0,0,0,0.991,0.008,0,35.65948833,139.7000781,94,34,“y,2019/12/21,1,0,0,9.306,1
A7300003-1221-1,1,35,female,0,0,0,0,0.964,0.035,0,0,35.65944861,139.6997142,84,34,“y,2019/12/21,1,1,0,10.409,1
A7300003-1221-1,3,20,female,0,0,0,0,0.996,0.003,0,0,35.65944861,139.6997142,71,34,“y,2019/12/21,1,1,0,12.309,1
A7300003-1221-1,4,18,female,0,0.001,0,0,0,0.999,0,0,35.65944861,139.6997142,58,34,“y,2019/12/21,1,0,0,15.06,1
A7300003-1221-1,9,20,female,0,0,0,0,0,1,0,0,35.65944861,139.6997142,41,34,“y,2019/12/21,1,0,0,21.291,1
A7300003-1221-1,10,33,female,0.007,0,0,0,0.004,0.987,0.002,0,35.65944861,139.6997142,37,34,“y,2019/12/21,1,0,0,23.589,1
A7300004-1221-1,2,6,female,0,0,0,0,0.004,0.996,0,0,35.65942165,139.6995871,80,34,“y,2019/12/21,1,0,0,10.928,1
A7300006-1221-1,3,20,female,0,0,0,0,0,0.955,0.045,0,35.6593604,139.6992495,117,34,“y,2019/12/21,1,0,0,7.483,1
A7300007-1221-1,2,21,female,0,0,0,0,0,0.999,0.001,0,35.65938996,139.6993298,288,34,“y,2019/12/21,1,0,0,3.06,1
A7300008,1,18,female,0,0,0,0,0,0.981,0.019,0,35.65969028,139.7002089,150,34,“ú,2019/12/8,1,0,0,5.844,1
A7300008,2,19,female,0,0,0,0,0,0.997,0.003,0,35.65969028,139.7002089,150,34,“ú,2019/12/8,1,0,0,5.844,1
A7300008,4,30,female,0.001,0.002,0.001,0,0.543,0.433,0.02,0,35.65969028,139.7002089,64,34,“ú,2019/12/8,1,1,0,13.652,1
A7300008,5,23,female,0.003,0.002,0.003,0,0.145,0.834,0.012,0.001,35.65969028,139.7002089,58,34,“ú,2019/12/8,1,0,0,15.06,1
A7300008,6,15,female,0,0,0,0,0.013,0.987,0,0,35.65969028,139.7002089,56,34,“ú,2019/12/8,1,0,0,15.597,1
A7300008-1221-1,2,23,female,0,0,0,0,0.002,0.993,0.004,0.002,35.65941023,139.6994367,228,34,“y,2019/12/21,1,0,0,3.857,1
A7300008-1221-1,3,20,female,0,0,0,0,0,0.999,0.001,0,35.65941023,139.6994367,192,34,“y,2019/12/21,1,0,0,4.573,1
A7300008-1221-1,5,22,female,0,0,0,0,0,0.901,0.098,0,35.65941023,139.6994367,148,34,“y,2019/12/21,1,0,0,5.923,1
A7300008-1221-1,6,21,female,0,0,0,0,0.544,0.452,0.002,0.002,35.65941023,139.6994367,124,34,“y,2019/12/21,1,1,0,7.062,1
A7300008-1221-1,8,23,female,0,0,0,0,0,0.999,0,0,35.65941023,139.6994367,105,34,“y,2019/12/21,1,0,0,8.334,1
A7300009,4,31,female,0,0,0,0,0,0.782,0.218,0,35.65961778,139.6999503,157,34,“ú,2019/12/8,1,0,0,5.585,1
A7300009,6,6,female,0,0,0,0,0,1,0,0,35.65961778,139.6999503,48,34,“ú,2019/12/8,1,0,0,18.191,1
A7300009-1221-1,1,22,female,0.005,0.002,0.001,0.003,0,0.933,0.005,0.05,35.65942899,139.6995331,463,34,“y,2019/12/21,1,0,0,1.916,1
A7300009-1221-1,3,70,female,0,0,0,0,0.687,0.312,0.001,0,35.65942899,139.6995331,110,34,“y,2019/12/21,1,1,0,7.957,1
A7300009-1221-1,7,36,female,0,0.001,0,0,0.672,0.327,0,0,35.65942899,139.6995331,74,34,“y,2019/12/21,1,1,0,11.811,1
A7300009-1221-1,8,14,female,0.002,0,0.001,0,0.995,0.002,0,0,35.65942899,139.6995331,53,34,“y,2019/12/21,1,1,0,16.478,1
A7300010,2,23,female,0,0,0.001,0,0,0.665,0.333,0,35.65965233,139.6997831,123,34,“ú,2019/12/8,1,0,0,7.12,1
A7300010,3,21,female,0,0.001,0,0,0,0.51,0.489,0,35.65965233,139.6997831,115,34,“ú,2019/12/8,1,0,0,7.613,1
A7300010,4,8,female,0,0,0,0,0,0.854,0.145,0.001,35.65965233,139.6997831,114,34,“ú,2019/12/8,1,0,0,7.679,1
A7300010,5,26,female,0,0,0,0,0,0.995,0.004,0,35.65965233,139.6997831,113,34,“ú,2019/12/8,1,0,0,7.747,1
A7300010,6,28,female,0,0,0,0,0,0.998,0.002,0,35.65965233,139.6997831,105,34,“ú,2019/12/8,1,0,0,8.334,1
A7300011,3,15,female,0,0,0,0,0,1,0,0,35.65967303,139.6995779,122,34,“ú,2019/12/8,1,0,0,7.178,1
A7300011-1221-1,2,54,female,0,0.002,0,0,0.144,0.847,0.008,0,35.65932556,139.6997536,133,34,“y,2019/12/21,1,0,0,6.587,1
A7300012,2,23,female,0,0,0,0,0,0.994,0.006,0,35.65962778,139.6994325,54,34,“ú,2019/12/8,1,0,0,16.174,1
A7300012,3,14,female,0,0,0,0,0,0.971,0.029,0,35.65962778,139.6994325,50,34,“ú,2019/12/8,1,0,0,17.465,1
A7300012,4,34,female,0,0.002,0,0,0,0.986,0.011,0,35.65962778,139.6994325,48,34,“ú,2019/12/8,1,0,0,18.191,1
A7300012,5,18,female,0.003,0,0,0,0,0.99,0.007,0,35.65962778,139.6994325,48,34,“ú,2019/12/8,1,0,0,18.191,1
A7300012,6,56,female,0,0,0,0,0,0.993,0.007,0,35.65962778,139.6994325,46,34,“ú,2019/12/8,1,0,0,18.98,1
A7300012,7,35,female,0.002,0,0,0,0.004,0.938,0.055,0,35.65962778,139.6994325,42,34,“ú,2019/12/8,1,0,0,20.785,1
A7300012,9,23,female,0,0,0,0,0,0.994,0.006,0,35.65962778,139.6994325,38,34,“ú,2019/12/8,1,0,0,22.969,1
A7300013,2,15,female,0.005,0.001,0,0,0,0.977,0.015,0,35.659605,139.6992719,108,34,“ú,2019/12/8,1,0,0,8.104,1
A7300013,3,15,female,0.002,0.001,0.003,0.004,0.164,0.641,0.173,0.012,35.659605,139.6992719,96,34,“ú,2019/12/8,1,0,0,9.112,1
A7300013,5,26,female,0,0,0,0.002,0,0.979,0.004,0.015,35.659605,139.6992719,64,34,“ú,2019/12/8,1,0,0,13.652,1
A7300013,6,18,female,0,0.001,0,0.001,0,0.978,0.001,0.019,35.659605,139.6992719,60,34,“ú,2019/12/8,1,0,0,14.56,1
A7300013,8,19,female,0,0,0,0,0,0.998,0.002,0,35.659605,139.6992719,59,34,“ú,2019/12/8,1,0,0,14.806,1
A7300013,9,10,female,0,0.001,0,0,0,0.987,0.011,0,35.659605,139.6992719,55,34,“ú,2019/12/8,1,0,0,15.88,1
A7300013,12,24,female,0,0,0,0,0,0.998,0.001,0,35.659605,139.6992719,44,34,“ú,2019/12/8,1,0,0,19.842,1
A7300014,1,24,female,0.001,0.001,0,0.001,0.009,0.968,0.013,0.006,35.6596174,139.6991021,213,34,“ú,2019/12/8,1,0,0,4.126,1
A7300015,1,23,female,0,0,0,0,0,0.882,0.118,0,35.65970042,139.698896,236,34,“ú,2019/12/8,1,0,0,3.727,1
A7300015-1221-1,1,31,female,0,0.001,0,0,0.022,0.96,0.015,0.002,35.65902333,139.6998563,76,34,“y,2019/12/21,1,0,0,11.502,1
A7300016,3,26,female,0,0,0,0,0,0.997,0.003,0,35.65977706,139.6987097,147,34,“ú,2019/12/8,1,0,0,5.963,1
A7300016-1221-1,1,18,female,0.001,0.001,0.001,0.001,0.009,0.955,0.006,0.028,35.65896345,139.6999739,98,34,“y,2019/12/21,1,0,0,8.927,1
A7300016-1221-1,4,22,female,0,0,0,0,0,0.983,0.016,0,35.65896345,139.6999739,63,34,“y,2019/12/21,1,0,0,13.868,1
A7300017,1,33,female,0.002,0,0,0,0,0.971,0.025,0.002,35.65985136,139.6985165,413,34,“ú,2019/12/8,1,0,0,2.144,1
A7300018,3,23,female,0,0,0,0.001,0.006,0.504,0.001,0.488,35.6599684,139.6982791,88,34,“ú,2019/12/8,1,0,0,9.938,1
A7300018,4,19,female,0,0,0,0,0,0.991,0.009,0,35.6599684,139.6982791,82,34,“ú,2019/12/8,1,0,0,10.662,1
A7300019,3,32,female,0,0,0,0,0.004,0.995,0,0.001,35.66002278,139.698081,43,34,“ú,2019/12/8,1,0,0,20.302,1
A7300020,1,40,female,0,0,0,0,0,0.98,0.019,0,35.66012148,139.6978521,46,34,“ú,2019/12/8,1,0,0,18.98,1
A7300022,1,28,female,0,0.002,0,0,0.001,0.831,0.166,0,35.66024211,139.6975027,192,34,“ú,2019/12/8,1,0,0,4.573,1
A7300022,2,55,female,0,0,0,0,0,0.986,0.008,0.006,35.66024211,139.6975027,154,34,“ú,2019/12/8,1,0,0,5.693,1
A7300022,5,18,female,0,0.001,0,0,0.859,0.137,0.002,0.001,35.66024211,139.6975027,68,34,“ú,2019/12/8,1,1,0,12.851,1
A7300022-1221-1,1,19,female,0,0,0.001,0,0.804,0.186,0.005,0.004,35.65877525,139.6992487,174,34,“y,2019/12/21,1,1,0,5.043,1
A7300022-1221-1,2,19,female,0,0,0,0,1,0,0,0,35.65877525,139.6992487,158,34,“y,2019/12/21,1,1,0,5.55,1
A7300023-1221-1,2,19,female,0,0,0,0,1,0,0,0,35.6587266,139.6991483,59,34,“y,2019/12/21,1,1,0,14.806,1
A7300025,1,27,female,0,0,0,0,0,0.958,0.038,0.003,35.66035645,139.6970661,165,34,“ú,2019/12/8,1,0,0,5.316,1
