filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,‰æ‘œƒTƒCƒY,35mmŠ·ŽZ,—j“ú,“ú•t,ŽžŠÔ‘Ñ,happy_tf,male_tf,distance,—j“ú_tf
A7300001-1221-1,1,21,male,0,0,0,0,0,0.963,0.037,0,35.65948833,139.7000781,341,34,“y,2019/12/21,1,0,1,2.724,1
A7300001-1221-1,2,15,male,0,0,0,0,0,0.998,0.002,0,35.65948833,139.7000781,159,34,“y,2019/12/21,1,0,1,5.804,1
A7300001-1221-1,3,38,male,0,0,0,0,0,0.922,0.077,0,35.65948833,139.7000781,132,34,“y,2019/12/21,1,0,1,6.984,1
A7300001-1221-1,6,14,male,0,0,0,0,1,0,0,0,35.65948833,139.7000781,93,34,“y,2019/12/21,1,1,1,9.899,1
A7300001-1221-1,7,25,male,0,0,0,0,0,0.998,0.001,0,35.65948833,139.7000781,63,34,“y,2019/12/21,1,0,1,14.596,1
A7300001-1221-1,8,41,male,0,0,0,0,0,0.986,0.003,0.011,35.65948833,139.7000781,54,34,“y,2019/12/21,1,0,1,17.024,1
A7300002-1221-1,1,26,male,0,0,0,0,0,0.977,0.023,0,35.65945306,139.6999253,75,34,“y,2019/12/21,1,0,1,12.266,1
A7300002-1221-1,2,50,male,0,0.172,0,0,0.003,0.824,0.001,0,35.65945306,139.6999253,36,34,“y,2019/12/21,1,0,1,25.518,1
A7300003-1221-1,2,35,male,0,0,0,0,0,0.999,0.001,0,35.65944861,139.6997142,78,34,“y,2019/12/21,1,0,1,11.796,1
A7300003-1221-1,5,59,male,0,0,0,0,0.024,0.975,0.001,0,35.65944861,139.6997142,49,34,“y,2019/12/21,1,0,1,18.757,1
A7300003-1221-1,6,47,male,0,0,0,0,0,0.997,0.002,0,35.65944861,139.6997142,45,34,“y,2019/12/21,1,0,1,20.421,1
A7300003-1221-1,7,30,male,0,0,0,0,0,1,0,0,35.65944861,139.6997142,45,34,“y,2019/12/21,1,0,1,20.421,1
A7300003-1221-1,8,38,male,0.001,0,0,0.001,0.001,0.885,0.003,0.109,35.65944861,139.6997142,43,34,“y,2019/12/21,1,0,1,21.37,1
