filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,âÊëúÉTÉCÉY,35mmä∑éZ,ójì˙,ì˙ït,éûä‘ë—,male_tf,happy_tf,kao,distance,èÍèä
DSD06637-1221,1,44,male,0,0.008,0,0,0.22,0.77,0.002,0,35.67156813,139.7031471,378,35,ìy,2019/12/21,2,1,0,161.9,2.53345679,2
DSD06637-1221,2,15,female,0,0,0,0,0,0.993,0.007,0,35.67156813,139.7031471,320,35,ìy,2019/12/21,2,0,0,153.8,2.838645833,2
DSD06637-1221,3,28,female,0,0,0,0,0.577,0.422,0.001,0.001,35.67156813,139.7031471,205,35,ìy,2019/12/21,2,0,1,153.8,4.411422764,2
DSD06637-1221,4,15,female,0,0,0,0.031,0.001,0.691,0.169,0.108,35.67156813,139.7031471,161,35,ìy,2019/12/21,2,0,0,153.8,5.607463768,2
DSD06637-1221,5,41,male,0,0.001,0,0,0.023,0.972,0.004,0,35.67156813,139.7031471,129,35,ìy,2019/12/21,2,1,0,161.9,7.356059432,2
DSD06637-1221,6,50,female,0,0.001,0,0,0,0.937,0.062,0,35.67156813,139.7031471,108,35,ìy,2019/12/21,2,0,0,153.8,8.342098765,2
DSD06637-1221,7,47,male,0,0,0,0,0,0.978,0.02,0.001,35.67156813,139.7031471,103,35,ìy,2019/12/21,2,1,0,161.9,9.204093851,2
DSD06637-1221,9,17,female,0,0,0,0.001,0.001,0.948,0.001,0.049,35.67156813,139.7031471,62,35,ìy,2019/12/21,2,0,0,153.8,14.50543011,2
DSD06637-1221,10,18,female,0,0,0,0,0.005,0.994,0,0,35.67156813,139.7031471,58,35,ìy,2019/12/21,2,0,0,153.8,15.5033908,2
DSD06637-1221,11,12,female,0,0,0,0,0,0.995,0.001,0.003,35.67156813,139.7031471,53,35,ìy,2019/12/21,2,0,0,153.8,16.96267296,2
DSD06637-1221,13,25,male,0,0,0,0,0,1,0,0,35.67156813,139.7031471,37,35,ìy,2019/12/21,2,1,0,161.9,25.55977477,2
DSD06638-1221,1,19,female,0,0.004,0,0,0.109,0.847,0.038,0.001,35.67156484,139.7031979,950,35,ìy,2019/12/21,2,0,0,153.8,0.979385965,2
DSD06638-1221,2,17,female,0.001,0.013,0,0,0.001,0.983,0.002,0,35.67156484,139.7031979,666,35,ìy,2019/12/21,2,0,0,153.8,1.382097097,2
DSD06638-1221,3,15,female,0,0,0,0,0,0.995,0.005,0,35.67156484,139.7031979,320,35,ìy,2019/12/21,2,0,0,153.8,2.838645833,2
DSD06638-1221,4,34,female,0,0.026,0,0.001,0.065,0.902,0.002,0.003,35.67156484,139.7031979,221,35,ìy,2019/12/21,2,0,0,153.8,4.094577677,2
DSD06638-1221,5,19,female,0,0,0,0,0.001,0.968,0.031,0,35.67156484,139.7031979,188,35,ìy,2019/12/21,2,0,0,153.8,4.807163121,2
DSD06638-1221,6,23,female,0.001,0,0.001,0.002,0.605,0.058,0.003,0.33,35.67156484,139.7031979,105,35,ìy,2019/12/21,2,0,1,153.8,8.579444444,2
DSD06638-1221,8,20,male,0,0,0,0,0,1,0,0,35.67156484,139.7031979,49,35,ìy,2019/12/21,2,1,0,161.9,19.30880952,2
DSD06638-1221,9,25,male,0,0,0,0,0,1,0,0,35.67156484,139.7031979,47,35,ìy,2019/12/21,2,1,0,161.9,20.12897163,2
