filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,画像サイズ,35mm換算,曜日,日付,時間帯,土日_tf,場所
A7300001-1221-2,1,22,female,0,0.002,0,0,0.133,0.856,0.008,0.001,35.65958889,139.7004944,84,70,土,2019/12/21,1,1,スクランブル交差点
A7300003-1221-2,1,28,male,0,0,0,0,0,0.97,0.03,0,35.65962833,139.700435,93,70,土,2019/12/21,1,1,スクランブル交差点
A7300004-1221-2,1,31,male,0.001,0,0,0,0,0.897,0.1,0,35.65954472,139.7003181,96,70,土,2019/12/21,1,1,スクランブル交差点
A7300005-1221-2,1,46,male,0,0,0,0,0,0.951,0.007,0.042,35.6595675,139.7005142,62,70,土,2019/12/21,1,1,スクランブル交差点
A7300006-1221-2,1,47,male,0,0,0,0,0,0.998,0.002,0,35.65960778,139.7006486,107,70,土,2019/12/21,1,1,スクランブル交差点
A7300007-1221-2,1,23,female,0.001,0,0,0,0.003,0.973,0.019,0.003,35.65939139,139.7005822,96,61,土,2019/12/21,1,1,スクランブル交差点
A7300008-1221-2,1,21,male,0,0,0,0,0,0.996,0,0.004,35.65938889,139.7006253,45,70,土,2019/12/21,1,1,スクランブル交差点
A7300009-1221-2,1,39,male,0,0.001,0,0,0.001,0.971,0.026,0,35.65934195,139.7006131,94,70,土,2019/12/21,1,1,スクランブル交差点
A7300011-1221-2,1,39,male,0,0,0,0,0,0.988,0.011,0,35.659445,139.7007353,64,70,土,2019/12/21,1,1,スクランブル交差点
A7300013-1221-2,1,28,male,0,0,0,0,0,0.988,0.012,0,35.65933639,139.700625,536,34,土,2019/12/21,1,1,スクランブル交差点
A7300014-1221-2,1,26,male,0,0,0,0,0,0.957,0.043,0,35.65934889,139.7006064,635,34,土,2019/12/21,1,1,スクランブル交差点
A7300016-1221-2,1,28,male,0,0,0,0,0,0.946,0.054,0,35.65935583,139.7005042,48,34,土,2019/12/21,1,1,スクランブル交差点
A7300018-1221-2,1,23,male,0,0,0,0,0,0.998,0.002,0,35.65934139,139.7003733,151,34,土,2019/12/21,1,1,スクランブル交差点
A7300019-1221-2,1,43,female,0.001,0,0,0.002,0,0.969,0.023,0.004,35.65935278,139.7002722,534,34,土,2019/12/21,1,1,スクランブル交差点
A7300020-1221-2,1,19,male,0,0,0,0,0,0.998,0.002,0,35.65936583,139.7002489,211,34,土,2019/12/21,1,1,スクランブル交差点
