filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,âÊëúÉTÉCÉY,35mmä∑éZ,ójì˙,ì˙ït,éûä‘ë—,male_tf,happy_tf,distance,èÍèä
DSD06706-1221,1,45,female,0,0,0,0,0,0.998,0.001,0,35.73473496,139.7366747,54,35,ìy,2019/12/21,2,0,0,16.64919753,4
DSD06706-1221,2,63,male,0,0,0,0,0,0.976,0.024,0,35.73473496,139.7366747,53,35,ìy,2019/12/21,2,1,0,17.85418239,4
DSD06706-1221,3,65,female,0.002,0.008,0,0,0,0.978,0.009,0.002,35.73473496,139.7366747,50,35,ìy,2019/12/21,2,0,0,17.97833333,4
DSD06706-1221,4,22,female,0,0,0,0,0.09,0.908,0.001,0,35.73473496,139.7366747,38,35,ìy,2019/12/21,2,0,0,23.64464912,4
DSD06707-1221,1,34,male,0,0,0,0,0.006,0.985,0.006,0.002,35.73479286,139.7365048,235,35,ìy,2019/12/21,2,1,0,4.053794326,4
DSD06707-1221,2,32,female,0,0.001,0,0,0.511,0.449,0.004,0.035,35.73479286,139.7365048,68,35,ìy,2019/12/21,2,0,1,13.22862745,4
DSD06707-1221,3,20,female,0.016,0.003,0.062,0.001,0.212,0.681,0.02,0.004,35.73479286,139.7365048,47,35,ìy,2019/12/21,2,0,0,19.12365248,4
DSD06707-1221,4,23,male,0.001,0,0,0,0.303,0.656,0.037,0.003,35.73479286,139.7365048,44,35,ìy,2019/12/21,2,1,0,21.49901515,4
DSD06707-1221,5,13,female,0,0,0,0,0.001,0.998,0.001,0,35.73479286,139.7365048,42,35,ìy,2019/12/21,2,0,0,21.39611111,4
DSD06707-1221,6,26,male,0,0,0,0,0.058,0.941,0.001,0,35.73479286,139.7365048,41,35,ìy,2019/12/21,2,1,0,23.06955285,4
DSD06707-1221,7,35,female,0,0,0,0,0.002,0.998,0,0,35.73479286,139.7365048,37,35,ìy,2019/12/21,2,0,0,24.28274775,4
DSD06708-1221,1,55,female,0,0,0,0,0.996,0.004,0,0,35.73492392,139.7363223,258,35,ìy,2019/12/21,2,0,1,3.512390181,4
DSD06708-1221,2,53,male,0,0.001,0,0,0.035,0.727,0.236,0,35.73492392,139.7363223,129,35,ìy,2019/12/21,2,1,0,7.356059432,4
